ImuData<roll_degs=1.4000, pitch_degs=-0.7000, accels=[-0.1274, -0.1960, -9.9372],         self.ang_vels=[-0.0017, -0.0000, 0.0175]>
ImuData<roll_degs=1.4000, pitch_degs=-0.7000, accels=[-0.1470, -0.2940, -9.8784],         self.ang_vels=[-0.0122, 0.0052, 0.0175]>
ImuData<roll_degs=1.4000, pitch_degs=-0.7000, accels=[-0.1274, -0.3136, -9.8490],         self.ang_vels=[-0.0140, 0.0070, 0.0175]>
ImuData<roll_degs=1.4000, pitch_degs=-0.7000, accels=[-0.1372, -0.3234, -9.6922],         self.ang_vels=[-0.0140, 0.0070, 0.0192]>
ImuData<roll_degs=1.4000, pitch_degs=-0.7000, accels=[-0.1274, -0.2940, -9.5550],         self.ang_vels=[-0.0140, 0.0070, 0.0175]>
ImuData<roll_degs=1.4000, pitch_degs=-0.7000, accels=[-0.1372, -0.2744, -9.6236],         self.ang_vels=[-0.0140, 0.0052, 0.0175]>
ImuData<roll_degs=1.4000, pitch_degs=-0.7000, accels=[-0.1372, -0.2548, -9.6824],         self.ang_vels=[-0.0140, 0.0035, 0.0192]>
ImuData<roll_degs=1.4000, pitch_degs=-0.7000, accels=[-0.1764, -0.2058, -9.6530],         self.ang_vels=[-0.0122, 0.0035, 0.0192]>
ImuData<roll_degs=1.4000, pitch_degs=-0.7000, accels=[-0.1372, -0.2156, -9.6530],         self.ang_vels=[-0.0105, 0.0017, 0.0192]>
ImuData<roll_degs=1.4000, pitch_degs=-0.7000, accels=[-0.1470, -0.2254, -9.7216],         self.ang_vels=[-0.0087, 0.0017, 0.0175]>
ImuData<roll_degs=1.4000, pitch_degs=-0.7000, accels=[-0.1568, -0.2058, -9.7706],         self.ang_vels=[-0.0087, 0.0017, 0.0175]>
ImuData<roll_degs=1.4000, pitch_degs=-0.7000, accels=[-0.1470, -0.2156, -9.7706],         self.ang_vels=[-0.0087, 0.0017, 0.0175]>
ImuData<roll_degs=1.4000, pitch_degs=-0.7000, accels=[-0.1372, -0.1862, -9.7804],         self.ang_vels=[-0.0087, 0.0017, 0.0175]>
ImuData<roll_degs=1.4000, pitch_degs=-0.7000, accels=[-0.1274, -0.1960, -9.7804],         self.ang_vels=[-0.0087, 0.0017, 0.0192]>
ImuData<roll_degs=1.4000, pitch_degs=-0.7000, accels=[-0.1176, -0.2156, -9.7902],         self.ang_vels=[-0.0105, 0.0017, 0.0192]>
ImuData<roll_degs=1.4000, pitch_degs=-0.7000, accels=[-0.1372, -0.1764, -9.7706],         self.ang_vels=[-0.0122, 0.0017, 0.0175]>
ImuData<roll_degs=1.4000, pitch_degs=-0.7000, accels=[-0.1372, -0.2254, -9.7902],         self.ang_vels=[-0.0087, 0.0017, 0.0175]>
ImuData<roll_degs=1.4000, pitch_degs=-0.7000, accels=[-0.1470, -0.2058, -9.7314],         self.ang_vels=[-0.0105, 0.0035, 0.0175]>
ImuData<roll_degs=1.4000, pitch_degs=-0.7000, accels=[-0.1176, -0.2254, -9.6922],         self.ang_vels=[-0.0087, 0.0052, 0.0175]>
ImuData<roll_degs=1.4000, pitch_degs=-0.7000, accels=[-0.0784, -0.2352, -9.7216],         self.ang_vels=[-0.0105, 0.0052, 0.0175]>
ImuData<roll_degs=1.4000, pitch_degs=-0.7000, accels=[-0.1078, -0.2450, -9.7706],         self.ang_vels=[-0.0105, 0.0052, 0.0175]>
ImuData<roll_degs=1.4000, pitch_degs=-0.7000, accels=[-0.1372, -0.2254, -9.7412],         self.ang_vels=[-0.0105, 0.0035, 0.0175]>
ImuData<roll_degs=1.4000, pitch_degs=-0.7000, accels=[-0.1568, -0.2058, -9.7216],         self.ang_vels=[-0.0087, 0.0035, 0.0192]>
ImuData<roll_degs=1.4000, pitch_degs=-0.7000, accels=[-0.0980, -0.2352, -9.6922],         self.ang_vels=[-0.0087, 0.0035, 0.0192]>
ImuData<roll_degs=1.4000, pitch_degs=-0.7000, accels=[-0.1176, -0.2646, -9.6726],         self.ang_vels=[-0.0087, 0.0035, 0.0157]>
