currency_code,currency_name,currency_icon,percentage,position,borrowed,on_orders,equity,current_price,current_price_usd,day_change_percent,day_change_percent_btc,day_change_percent_usd,btc_value,usd_value,account_id
AAVE,Aave,https://3commas.io/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBaE1XIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--0a349748ae9e0d23460e478428626a6a3a76f773/7278.png,0.4464209891095184,4.26921,0.0,0.0,4.26921,0.001921,27.55029044,-5.312,-5.312,-2.518,0.00820115241,117.6179754493524,29165531
CHR,Chromia,https://3commas.io/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBdGdKIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--87ebd58a5051d04ffbc8552d56e418e5b2d45a69/data,2.496376802110248,31847.689,0.0,0.0,31847.689,1.44e-06,0.0206519616,-4.0,-4.0,-0.336,0.04586067216,657.7172502767424,29165531
CTSI,Cartesi,https://3commas.io/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBaGdSIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--c76a03d24ed29243da50f2e4edfd7c6452d9f912/5444.png,2.113202819753861,18754.311,0.0,0.0,18754.311,2.07e-06,0.0296871948,-1.429,-1.429,1.887,0.03882142377,556.7628839967828,29165531
COTI,COTI,https://3commas.io/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBaGNOIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--854ec222c349854771bc7af7ff0b8c2e6f0cf862/data,2.43414688905942,22028.302,0.0,0.0,22028.302,2.03e-06,0.0291135292,0.0,0.0,3.219,0.04471745306,641.3216135034183,29165531
CTXC,Cortex,https://3commas.io/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBa3dJIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--8ac8a63d21a47e5406f8dce75c3490796f24096d/data,1.880397610832199,6605.083,0.0,0.0,6605.083,5.23e-06,0.0750067772,-1.866,-1.866,0.81,0.03454458409,495.4259889685076,29165531
ARPA,ARPA Chain,https://3commas.io/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBczRMIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--ec074f341bfc2b3bbb17889138ea36953c081055/data,1.218936657669279,23822.293,0.0,0.0,23822.293,9.4e-07,0.0134811416,-2.083,-2.083,0.747,0.02239295542,321.1517051696888,29165531
XTZ,Tezos,https://3commas.io/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBb2NRIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--39e3e249b75b7e646493155045790060b1305544/2011.png,1.56878280103028,221.18144,0.0,0.0,221.18144,0.0001303,1.868715692,-3.264,-3.264,0.198,0.028819941632,413.3252277071565,29165531
HBAR,Hedera Hashgraph,https://3commas.io/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBa29PIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--7ea46c0bde20337003c410ae2ae7871339748701/4642.png,1.307216024012327,11947.625,0.0,0.0,11947.625,2.01e-06,0.0288266964,-2.415,-2.415,0.837,0.02401472625,344.41055857605,29165531
BAND,Band Protocol,https://3commas.io/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBazhPIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--7dfc22723b99f53be440895b4f3650c60368a9ae/4679.png,1.974543288821302,128.3086,0.0,0.0,128.3086,0.00028271,4.0545250444,-6.002,-6.002,-2.823,0.036274124306,520.2304321119018,29165531
TOMO,TomoChain,https://3commas.io/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBdTBIIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--25f991eaf925c4a99e62f5d54f6d67728dca5c90/data,1.096184771366082,586.256,0.0,0.0,586.256,3.435e-05,0.492635334,-4.799,-4.799,-1.595,0.0201378936,288.810420369504,29165531
PERL,Perlin,https://3commas.io/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBdmdOIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--5feb54884c52e93eda5c5abd4cb2ec241f3b2bd7/data,1.289550217421704,21151.955,0.0,0.0,21151.955,1.12e-06,0.0160626368,-1.739,-1.739,2.061,0.0236901896,339.756170774944,29165531
