id,type,bot_id,max_safety_orders,deal_has_error,from_currency_id,to_currency_id,account_id,active_safety_orders_count,created_at,updated_at,closed_at,finished?,current_active_safety_orders_count,current_active_safety_orders,completed_safety_orders_count,completed_manual_safety_orders_count,cancellable?,panic_sellable?,trailing_enabled,tsl_enabled,stop_loss_timeout_enabled,stop_loss_timeout_in_seconds,active_manual_safety_orders,pair,status,take_profit,base_order_volume,safety_order_volume,safety_order_step_percentage,bought_amount,bought_volume,bought_average_price,sold_amount,sold_volume,sold_average_price,take_profit_type,final_profit,martingale_coefficient,martingale_volume_coefficient,martingale_step_coefficient,stop_loss_percentage,error_message,profit_currency,stop_loss_type,safety_order_volume_type,base_order_volume_type,from_currency,to_currency,current_price,take_profit_price,stop_loss_price,final_profit_percentage,actual_profit_percentage,bot_name,account_name,usd_final_profit,actual_profit,actual_usd_profit,failed_message,reserved_base_coin,reserved_second_coin,trailing_deviation,trailing_max_price,tsl_max_price,strategy
208834251,Deal,1422849,3,True,0,0,29001794,1,10-29-2020 03:11:26.406000,10-29-2020 08:50:05.429000,10-29-2020 08:50:05.429000,True,1,0,1,0,False,False,False,False,False,0,0,ETH_ZEN,failed,1.3,0.03,0.015,1.4,3.058,0.04502518358,0.014723735637671680837148463047743624,0.0,0.0,0,total,0.0,1.0,3.0,2.1,0.0,Exchange account is banned. Check your account settings.,quote_currency,stop_loss,quote_currency,quote_currency,ETH,ZEN,0.0,,,0,0,"Rio (ETH, 1.3%p, 1b, 2s, 2m) NEW",,0,-0.000759074,-0.29295701956,Exchange account is banned. Check your account settings.,0.04502518358,3.058,0.2,,,long
208522210,Deal,1422849,3,True,0,0,29001794,1,10-28-2020 15:43:42.431000,10-29-2020 08:50:05.486000,10-29-2020 08:50:05.486000,True,1,0,1,0,False,False,False,False,False,0,0,ETH_NANO,failed,1.3,0.03,0.015,1.4,22.65,0.0450550159375,0.001989183926600441501103752759381898,0.0,0.0,0,total,0.0,1.0,3.0,2.1,0.0,Exchange account is banned. Check your account settings.,quote_currency,stop_loss,quote_currency,quote_currency,ETH,NANO,0.0,,,0,0,"Rio (ETH, 1.3%p, 1b, 2s, 2m) NEW",,0,-0.0014747398375,-0.56916109288475,Exchange account is banned. Check your account settings.,0.0450550159375,22.65,0.2,,,long
207977354,Deal,1042508,3,True,0,0,29001794,1,10-27-2020 23:02:27.350000,10-29-2020 08:50:06.393000,10-29-2020 08:50:06.392000,True,0,0,2,0,False,False,False,False,False,0,0,BNB_BLZ,failed,2.64,0.2,0.1,1.3,253.0,0.60448226,0.00238925794466403162055336,0.0,0.0,0,total,0.0,1.0,3.0,2.4,0.0,Exchange account is banned. Check your account settings.,quote_currency,stop_loss,quote_currency,quote_currency,BNB,BLZ,0.0,,,0,0,"Oslo (BNB, 2.64%0, 1b, 2s, 2m)",,0,-0.073460813,-2.0831650046475,Exchange account is banned. Check your account settings.,0.60448226,253.0,0.2,,,long
206919022,Deal,1422849,3,True,0,0,29001794,1,10-26-2020 12:40:03.540000,10-29-2020 08:50:05.458000,10-29-2020 08:50:05.457000,True,0,0,3,0,False,False,False,False,False,0,0,ETH_RLC,failed,1.3,0.03,0.015,1.4,106.32,0.22522955557,0.002118411922215951843491346877351392,0.0,0.0,0,total,0.0,1.0,3.0,2.1,0.0,Exchange account is banned. Check your account settings.,quote_currency,stop_loss,quote_currency,quote_currency,ETH,RLC,0.0,,,0,0,"Rio (ETH, 1.3%p, 1b, 2s, 2m) NEW",,0,-0.02554783717,-9.8599322773898,Exchange account is banned. Check your account settings.,0.22522955557,106.32,0.2,,,long
206838241,Deal,1606912,3,True,0,0,29001794,1,10-26-2020 09:23:11.877000,10-29-2020 08:50:03.676000,10-29-2020 08:50:03.675000,True,0,0,2,0,False,False,False,False,False,0,0,BTC_VIB,failed,1.32,0.001,0.0005,0.48,2527.0,0.0030050020625,0.000001189157919469726948951,0.0,0.0,0,total,0.0,1.0,3.0,1.9,0.0,Exchange account is banned. Check your account settings.,quote_currency,stop_loss,quote_currency,quote_currency,BTC,VIB,0.0,,,0,0,Exchange Wallet BTC Long Bot (Duplicate),,0,-0.0008844447425,-12.203400512513925,Exchange account is banned. Check your account settings.,0.0030050020625,2527.0,0.2,,,long
206745060,Deal,1422849,3,True,0,0,29001794,1,10-26-2020 05:43:04.514000,10-29-2020 08:50:05.546000,10-29-2020 08:50:05.546000,True,0,0,3,0,False,False,False,False,False,0,0,ETH_BLZ,failed,1.3,0.03,0.015,1.4,1141.0,0.225641104,0.000197757321647677475898335,0.0,0.0,0,total,0.0,1.0,3.0,2.1,0.0,Exchange account is banned. Check your account settings.,quote_currency,stop_loss,quote_currency,quote_currency,ETH,BLZ,0.0,,,0,0,"Rio (ETH, 1.3%p, 1b, 2s, 2m) NEW",,0,-0.04977225889,-19.2091055960066,Exchange account is banned. Check your account settings.,0.225641104,1141.0,0.2,,,long
206724376,Deal,1042508,3,True,0,0,29001794,1,10-26-2020 04:50:24.334000,10-29-2020 08:50:06.436000,10-29-2020 08:50:06.436000,True,0,0,3,0,False,False,False,False,False,0,0,BNB_BLZ,failed,2.64,0.2,0.1,1.3,577.0,1.50805972,0.002613621698440207972270364,0.0,0.0,0,total,0.0,1.0,3.0,2.4,0.0,Exchange account is banned. Check your account settings.,quote_currency,stop_loss,quote_currency,quote_currency,BNB,BLZ,0.0,,,0,0,"Oslo (BNB, 2.64%0, 1b, 2s, 2m)",,0,-0.296994997,-8.4220356274275,Exchange account is banned. Check your account settings.,1.50805972,577.0,0.2,,,long
206676354,Deal,1606912,3,True,0,0,29001794,1,10-26-2020 03:00:45.389000,10-29-2020 08:50:03.651000,10-29-2020 08:50:03.650000,True,0,0,3,0,False,False,False,False,False,0,0,BTC_ATOM,failed,1.32,0.001,0.0005,0.48,18.71,0.00750960298125,0.000401368411611437733832175307322288,0.0,0.0,0,total,0.0,1.0,3.0,1.9,0.0,Exchange account is banned. Check your account settings.,quote_currency,stop_loss,quote_currency,quote_currency,BTC,ATOM,0.0,,,0,0,Exchange Wallet BTC Long Bot (Duplicate),,0,-0.00127045037925,-17.5294329473194425,Exchange account is banned. Check your account settings.,0.00750960298125,18.71,0.2,,,long
206642832,Deal,1606912,3,True,0,0,29001794,1,10-26-2020 01:46:33.205000,10-29-2020 08:50:03.696000,10-29-2020 08:50:03.696000,True,0,0,3,0,False,False,False,False,False,0,0,BTC_CVC,failed,1.32,0.001,0.0005,0.48,3441.0,0.0075104586225,0.000002182638367480383609416,0.0,0.0,0,total,0.0,1.0,3.0,1.9,0.0,Exchange account is banned. Check your account settings.,quote_currency,stop_loss,quote_currency,quote_currency,BTC,CVC,0.0,,,0,0,Exchange Wallet BTC Long Bot (Duplicate),,0,-0.0012197256525,-16.829542805321025,Exchange account is banned. Check your account settings.,0.0075104586225,3441.0,0.2,,,long
205695576,Deal,1042508,3,True,0,0,29001794,1,10-24-2020 13:15:09.792000,10-29-2020 08:50:06.542000,10-29-2020 08:50:06.542000,True,1,0,2,0,False,False,False,False,False,0,0,BNB_ENJ,failed,2.64,0.2,0.1,1.3,127.0,0.60625218,0.004773639212598425196850394,0.0,0.0,0,total,0.0,1.0,3.0,2.4,0.0,Exchange account is banned. Check your account settings.,quote_currency,stop_loss,quote_currency,quote_currency,BNB,ENJ,0.0,,,0,0,"Oslo (BNB, 2.64%0, 1b, 2s, 2m)",,0,-0.040906092,-1.15999450389,Exchange account is banned. Check your account settings.,0.60625218,127.0,0.2,,,long
205471083,Deal,1054867,3,True,0,0,29001794,1,10-24-2020 04:14:50.073000,10-29-2020 08:50:05.303000,10-29-2020 08:50:05.303000,True,0,0,3,0,False,False,False,False,False,0,0,BTC_HBAR,failed,0.78,0.003,0.0015,0.48,8887.0,0.0223062871775,0.000002509990680488353775177,0.0,0.0,0,total,0.0,1.0,3.0,1.9,0.0,Exchange account is banned. Check your account settings.,quote_currency,stop_loss,quote_currency,quote_currency,BTC,HBAR,0.0,,,0,0,"Berlin (BTC, 0.78%p, 15b, 3s, 3m)",,0,-0.0033959064875,-46.856072492292375,Exchange account is banned. Check your account settings.,0.0223062871775,8887.0,0.2,,,long
205234751,Deal,1606912,3,True,0,0,29001794,1,10-23-2020 18:49:09.153000,10-29-2020 08:50:03.721000,10-29-2020 08:50:03.721000,True,0,0,3,0,False,False,False,False,False,0,0,BTC_TOMO,failed,1.32,0.001,0.0005,0.48,146.0,0.0075979041575,0.000052040439434931506849315,0.0,0.0,0,total,0.0,1.0,3.0,1.9,0.0,Exchange account is banned. Check your account settings.,quote_currency,stop_loss,quote_currency,quote_currency,BTC,TOMO,0.0,,,0,0,Exchange Wallet BTC Long Bot (Duplicate),,0,-0.0018629248775,-25.704283504018275,Exchange account is banned. Check your account settings.,0.0075979041575,146.0,0.2,,,long
205064470,Deal,1054872,3,True,0,0,29001794,1,10-23-2020 12:39:53.477000,10-29-2020 08:50:09.347000,10-29-2020 08:50:09.346000,True,0,0,3,0,False,False,False,False,False,0,0,BTC_ICX,failed,0.8,0.003,0.0015,0.48,773.0,0.0225693843525,0.000029197133703104786545925,0.0,0.0,0,total,0.0,1.0,3.0,1.9,0.0,Exchange account is banned. Check your account settings.,quote_currency,stop_loss,quote_currency,quote_currency,BTC,ICX,0.0,,,0,0,"Berlin (BTC, 0.8%p, 15b, 3s, 3m)",,0,-0.0048158856225,-66.448674800986725,Exchange account is banned. Check your account settings.,0.0225693843525,773.0,0.2,,,long
205012777,Deal,1422849,3,True,0,0,29001794,1,10-23-2020 10:41:04.871000,10-29-2020 08:50:05.581000,10-29-2020 08:50:05.580000,True,0,0,3,0,False,False,False,False,False,0,0,ETH_AION,failed,1.3,0.03,0.015,1.4,1273.6,0.2251720424675,0.000176799656460034547738693467336683,0.0,0.0,0,total,0.0,1.0,3.0,2.1,0.0,Exchange account is banned. Check your account settings.,quote_currency,stop_loss,quote_currency,quote_currency,ETH,AION,0.0,,,0,0,"Rio (ETH, 1.3%p, 1b, 2s, 2m) NEW",,0,-0.0203274920675,-7.84519228853095,Exchange account is banned. Check your account settings.,0.2251720424675,1273.6,0.2,,,long
